"","taxonomy","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"137","Viruses;Papillomaviridae;Firstpapillomavirinae;Lambdapapillomavirus;Lambdapapillomavirus 1","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"138","Viruses;Papillomaviridae;Firstpapillomavirinae;Gammapapillomavirus;Gammapapillomavirus 11","0","0","0","0","0","0","0","0","0","0","192","10673","0","4","0","0","0","0","0","0","0","0","0","0"
"139","Viruses;Genomoviridae;NA;NA;Capybara genomovirus 12","0","0","0","0","0","0","0","0","0","0","0","276","0","0","0","0","0","0","0","0","0","0","0","0"
"140","Viruses;Genomoviridae;NA;NA;Plant associated genomovirus 10","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0"
"141","Viruses;Siphoviridae;NA;Skunavirus","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"142","Viruses;Siphoviridae;NA;Skunavirus;Lactococcus phage 936 group phage PhiF0139","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"143","Viruses;Genomoviridae;NA;NA;Fly associated circular virus 2","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"144","Viruses;Autographiviridae","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"145","Viruses;Autographiviridae;Beijerinckvirinae","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"146","Viruses;Autographiviridae;Beijerinckvirinae;Friunavirus","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"147","Viruses;Autographiviridae;Beijerinckvirinae;Friunavirus;Acinetobacter phage AbKT21phiIII","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0"
"148","Viruses;NA;NA;NA;uncultured marine virus","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"149","Viruses;Genomoviridae;NA;Gemycircularvirus;Porcine feces-associated gemycircularvirus","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"150","Viruses;Myoviridae","0","0","0","0","0","0","0","0","0","0","0","2","7","0","4","0","0","0","0","0","0","2","0","0"
"151","Viruses;Myoviridae;NA","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"152","Viruses;Myoviridae;NA;NA","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"153","Viruses;Myoviridae;NA;NA;Acinetobacter phage TAC1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0"
"154","Viruses;Myoviridae;Tevenvirinae","0","0","0","0","0","0","0","0","0","0","0","0","7","0","4","0","0","0","0","0","0","2","0","0"
"155","Viruses;Myoviridae;Tevenvirinae;Tequatrovirus","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","2","0","0"
"156","Viruses;Myoviridae;Tevenvirinae;Tequatrovirus;Escherichia phage vB_EcoM_G4507","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","2","0","0"
"157","Viruses;Circoviridae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","0","0","0","0","0","816","0","0"
"158","Viruses;Circoviridae;NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70","0","0","0","0","0","816","0","0"
