Virus	RCA-Skin-5	RCA-Vulva-5	RCA-Vulva-8	RCA-Skin-7	RCA-Vulva-3	RCA-Vulva-7	RCA-Skin-10	RCA-Skin-3	RCA-Vulva-4	RCA-Skin-8	RCA-Vulva-9	RCA-Skin-12	RCA-Skin-1	RCA-Vulva-1	RCA-Vulva-6	RCA-Skin-4	RCA-Skin-6	RCA-Vulva-10	RCA-Vulva-11	RCA-Vulva-12	RCA-Skin-11	RCA-Skin-2	RCA-Vulva-2	RCA-Skin-9
1891762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.0	0	0
2259334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.0	0	0
1891764	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	90.0	0	0
1070420	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.0	0	0
64320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0	0
518630	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	966.0
1188015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0
464980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.0
931210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.0
1273707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0
10604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0
1962672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.0
